time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.85124998546e-08,-1.39746900381e-08,10.0032200136,6.28316664403,6.28316030051,0.0,1.89240518042e-06,-1.42026832024e-06,0.107328980987,-0.000940585483336,-0.00126371544041,0.0,438.995457394789,438.8906138377466,439.534187224701,439.45625010802036
0.12000000000000001,1.25489931515e-06,4.39371986421e-08,10.0178589998,0.000489514877871,6.28284566538,0.0,6.23187050421e-05,3.81079883017e-05,0.380585934441,0.0226521684519,-0.0147118569488,0.0,488.7555879482322,487.75253818762917,488.5127722744739,490.26846662353904
0.18,1.70639709292e-05,2.03197721313e-05,10.0471918583,0.00141811292374,6.28204443638,0.0,0.000564865673386,0.00078196122324,0.59708742267,-0.00545963169024,-0.0107674487079,0.0,473.15482893418533,473.45847782115766,472.9859201728417,470.8162071203365
0.23999999999999996,7.59432558906e-05,9.42914566684e-05,10.0852700489,0.00112365955387,6.28152413259,0.0,0.00145476535107,0.00165314968283,0.672143959918,-0.00382560513325,-0.00477908293041,0.0,428.91339556636945,429.42171475880923,429.35677012148466,429.49544597358636
0.3,0.000200180166228,0.000217134890117,10.1295475717,0.00116257745103,6.28133413814,0.0,0.00271155759635,0.00243269064309,0.803689703892,0.00836025167483,-0.000122088177932,0.0,446.9306812995847,447.3100938947714,446.94601660634817,447.9379368619684
0.36000000000000004,0.000402954138116,0.000390922034667,10.182124354,0.0018475516849,6.28185489352,0.0,0.00401498725588,0.00342521434801,0.948760136157,0.0169178939349,0.0221490143878,0.0,450.6343931876772,452.43077122691534,451.4202450235796,452.1100533807806
0.4200000000000001,0.000664700048072,0.000635512163548,10.2406149882,0.00277774352477,6.28318013338,0.0,0.00458386376945,0.00482017099839,1.00088310003,0.0125121959415,0.021963691462,0.0,422.7398715508647,422.7239506356993,422.1851610086368,421.8048220554281
0.48000000000000015,0.000934838318402,0.000985170505795,10.3037581109,0.00341559255339,0.00121402477659,0.0,0.00429060158968,0.00690625095807,1.1037933213,0.0065742411697,0.0168116566144,0.0,438.5835686522862,438.15549096199334,439.56655965758245,439.0741458334284
0.5400000000000001,0.0011585756112,0.0014839625552,10.3764598428,0.00332916279122,0.00203301253188,0.0,0.00305770403687,0.00974870216421,1.31937380431,-0.0266939323023,0.00642766902596,0.0,473.7850572380847,472.9859871287621,474.63154236717014,472.0717164185137
0.6000000000000002,0.00129787574662,0.00213188063809,10.4587037579,0.00184024551383,0.00285451228032,0.0,0.00152107519097,0.0116902261043,1.42196810958,-0.0213008465541,0.0252629737572,0.0,439.3307688073298,440.8894754990009,438.5827910412385,439.0303358101892
0.6600000000000003,0.00132391009744,0.00286703937453,10.5471768947,0.000897014973946,0.00433928114754,0.0,-0.000807002773569,0.0127026253968,1.52700151718,-0.00640854069844,0.0236920662665,0.0,440.2432955301092,440.1134073268777,440.20416464458975,441.4347342571817
0.7200000000000003,0.00118317609328,0.003645657941,10.6410812112,0.000130571106212,0.00621881776031,0.0,-0.00404931890833,0.0131992398479,1.60303785881,-0.0302355874569,0.0433651083548,0.0,430.21121280639,431.8739741221439,433.06314108130783,431.05451192279924
0.7800000000000004,0.000777617423131,0.00443259558463,10.7438883344,6.28146833362,0.00862596091748,0.0,-0.00976835915003,0.0128127277134,1.82353901131,-0.0319297774089,0.0326767743247,0.0,475.8073462197446,474.989138633977,476.76298123512623,476.6332810430769
0.8400000000000004,4.43053134517e-05,0.00516745220082,10.8519890618,6.27949957072,0.0108961351301,0.0,-0.0148480993773,0.0115255615038,1.77988583956,-0.0346393980714,0.0465491764702,0.0,392.17422116339645,393.4614385966104,391.56965527077284,391.3169429406357
0.9000000000000005,-0.00112804509806,0.00575860446489,10.9657636501,6.2771091374,0.0138941058059,0.0,-0.0245788079273,0.00791289417853,2.01221587833,-0.0530704786924,0.0560463568043,0.0,479.3105288650454,480.03305569874806,481.10809316842193,479.7099117978198
0.9600000000000005,-0.0029183773606,0.00608908738484,11.0904911324,6.27398508518,0.0180981926291,0.0,-0.0355094144762,0.00276787064436,2.14511817732,-0.050134226895,0.0890329238713,0.0,450.0303895741117,452.69575958347224,450.784311624589,451.01979277130533
1.0200000000000005,-0.00546983941097,0.00603999759556,11.2235854958,6.2709199347,0.0234998070367,0.0,-0.0501184005149,-0.0047315845575,2.29106430167,-0.0530596842882,0.0919429309243,0.0,455.7309245898566,455.9700047605215,455.6167258489466,455.3811848489485
1.0800000000000005,-0.00898286805208,0.00549169743741,11.3639564268,6.26771867595,0.0300232758741,0.0,-0.0676010911118,-0.013866336344,2.38774869059,-0.0539499461728,0.130120255537,0.0,439.12188319067633,442.28713567104165,441.3493035847628,441.27392642028303
1.1400000000000006,-0.0137035304498,0.00432083673911,11.5106670065,6.26469188974,0.0373500451967,0.0,-0.0905442849358,-0.0254833003804,2.50232733701,-0.044229188667,0.0969510983763,0.0,448.58206443401156,445.8933179185915,446.57716649221527,447.36772738843007
1.2000000000000006,-0.0198240048,0.00245209297026,11.6610378658,6.26174595388,0.042974149095,0.0,-0.113977019754,-0.037052560262,2.50999080628,-0.0612480460778,0.086376377926,0.0,413.5523515594565,412.627989791979,413.762781683973,412.25997335033617
1.2600000000000007,-0.0276296771502,-0.000257488595521,11.8159734605,6.25822715529,0.0480235628282,0.0,-0.146753467858,-0.0536488153427,2.65416829047,-0.0538963405599,0.0793042223596,0.0,457.71118466745673,457.15357861078064,456.131598308955,456.715997135654
